article_id,article_global_id,db_id
2871,10.1093/nar/gku892,MBDC1802
2870,10.1093/nar/gku888,MBDC1772
2927,10.1093/nar/gku887,MBDC1460
2818,10.1093/nar/gku886,MBDC0903
2941,10.1093/nar/gku843,MBDC1808
2800,10.1093/nar/gku830,MBDC1247
2911,10.1093/nar/gku770,MBDC1803
2875,10.1093/nar/gku724,MBDC1814
2843,10.1093/nar/gku1267,MBDC1469
2922,10.1093/nar/gku1244,MBDC1830
2829,10.1093/nar/gku1243,MBDC0207
2773,10.1093/nar/gku1241,NAR9161
2795,10.1093/nar/gku1240,MBDC0072
2808,10.1093/nar/gku1223,MBDC0007
2851,10.1093/nar/gku1221,MBDC0204
2784,10.1093/nar/gku1220,MBDC1108
2918,10.1093/nar/gku1216,MBDC0003
2872,10.1093/nar/gku1215,MBDC1264
2779,10.1093/nar/gku1214,MBDC0276
2880,10.1093/nar/gku1212,MBDC1790
2777,10.1093/nar/gku1207,MBDC0602
2882,10.1093/nar/gku1205,MBDC0143
2910,10.1093/nar/gku1204,MBDC0800
2923,10.1093/nar/gku1203,MBDC0690
2845,10.1093/nar/gku1202,NAR9110
2885,10.1093/nar/gku1201,MBDC0043
2790,10.1093/nar/gku1200,MBDC1821
2879,10.1093/nar/gku1199,MBDC1589
2789,10.1093/nar/gku1195,MBDC1331
2793,10.1093/nar/gku1193,MBDC1370
2794,10.1093/nar/gku1182,MBDC1804
2819,10.1093/nar/gku1181,MBDC0801
2797,10.1093/nar/gku1180,MBDC1463
2791,10.1093/nar/gku1179,MBDC0487
2896,10.1093/nar/gku1178,MBDC1459
2893,10.1093/nar/gku1177,MBDC0316
2867,10.1093/nar/gku1176,MBDC1786
2895,10.1093/nar/gku1175,MBDC1547
2876,10.1093/nar/gku1174,MBDC1798
2861,10.1093/nar/gku1173,MBDC1769
2936,10.1093/nar/gku1168,MBDC1809
2785,10.1093/nar/gku1167,MBDC1768
2838,10.1093/nar/gku1166,MBDC1392
2898,10.1093/nar/gku1165,MBDC0852
2926,10.1093/nar/gku1164,MBDC1792
2783,10.1093/nar/gku1163,MBDC1062
2805,10.1093/nar/gku1162,MBDC1389
2815,10.1093/nar/gku1161,MBDC0367
2781,10.1093/nar/gku1158,MBDC1426
2939,10.1093/nar/gku1156,MBDC1601
2844,10.1093/nar/gku1155,NAR9035
2859,10.1093/nar/gku1154,MBDC1787
2906,10.1093/nar/gku1152,MBDC0528
2908,10.1093/nar/gku1151,MBDC1806
2799,10.1093/nar/gku1144,MBDC1499
2822,10.1093/nar/gku1143,MBDC1831
2877,10.1093/nar/gku1142,MBDC1796
2796,10.1093/nar/gku1141,MBDC1816
2925,10.1093/nar/gku1140,MBDC1805
2857,10.1093/nar/gku1139,MBDC1817
2841,10.1093/nar/gku1138,MBDC1770
2916,10.1093/nar/gku1137,MBDC1789
2897,10.1093/nar/gku1131,MBDC1776
2878,10.1093/nar/gku1129,MBDC0002
2770,10.1093/nar/gku1128,MBDC0543
2775,10.1093/nar/gku1127,MBDC0297
2833,10.1093/nar/gku1126,MBDC1233
2807,10.1093/nar/gku1125,MBDC1022
2817,10.1093/nar/gku1123,MBDC1800
2840,10.1093/nar/gku1121,MBDC1261
2915,10.1093/nar/gku1120,MBDC0001
2828,10.1093/nar/gku1119,MBDC1140
2812,10.1093/nar/gku1118,MBDC1779
2803,10.1093/nar/gku1117,MBDC1031
2903,10.1093/nar/gku1114,MBDC1621
2798,10.1093/nar/gku1113,MBDC0389
2892,10.1093/nar/gku1112,MBDC1669
2858,10.1093/nar/gku1111,MBDC0033
2940,10.1093/nar/gku1110,MBDC1638
2865,10.1093/nar/gku1109,NAR9294
2831,10.1093/nar/gku1108,MBDC1824
2902,10.1093/nar/gku1106,MBDC1783
2830,10.1093/nar/gku1105,NAR9188
2874,10.1093/nar/gku1104,MBDC1760
